Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
08224/01/30;5411212082893;Lucide ARTHUR - Wall light - 1xE27 - Black;103;15.07.2022;;
08227/01/35;5411212082930;Lucide POLA - Wall light Children - Ø 12 cm - 1xE27 - Blue;48;15.07.2022;;
08227/01/66;5411212082947;Lucide POLA - Wall light Children - Ø 12 cm - 1xE27 - Pink;39;15.07.2022;;
08327/01/35;5411212082954;Lucide POLA - Pendant light Children - Ø 15 cm - 1xE27 - Blue;61;01.06.2022;;
08327/01/66;5411212082961;Lucide POLA - Pendant light Children - Ø 15 cm - 1xE27 - Pink;31;;;
08400/30/31;5411212081964;Lucide MODA - Pendant light - Ø 30 cm - 1xE27 - White;0;;;
08402/35/12;5411212082022;Lucide NOON - Pendant light - Ø 34 cm - 1xE27 - Satin Chrome;223;;;
08402/50/12;5411212082633;Lucide NOON - Pendant light - Ø 49 cm - 1xE27 - Satin Chrome;0;;;Liquidation
08405/50/31;5411212082107;Lucide TORA - Pendant light - 1xE27 - White;372;;;
08408/01/30;5411212082817;Lucide FIX - Pendant light - Ø 10 cm - 1xE27 - Black;413;;;
08408/03/30;5411212082725;Lucide FIX MULTIPLE - Pendant light - 3xE27 - Black;64;15.07.2022;;
08408/05/30;5411212082701;Lucide FIX MULTIPLE - Pendant light - 5xE27 - Black;72;15.07.2022;;
08408/07/30;5411212082879;Lucide FIX MULTIPLE - Pendant light - 7xE27 - Black;119;;;
08408/10/30;5411212082718;Lucide FIX MULTIPLE - Pendant light - 10xE27 - Black;100;15.07.2022;;
08424/01/30;5411212082749;Lucide ARTHUR - Pendant light - 1xE27 - Black;144;15.07.2022;;
08424/05/30;5411212082756;Lucide ARTHUR - Pendant light - 5xE27 - Black;47;;22.04.2022;
08425/04/30;5411212082855;Lucide JAIME - Pendant light - 4xE27 - Black;43;;;
08426/01/02;5411212451453;Lucide JOVA - Pendant light - Ø 4,6 cm - 1xE27 - Matt Gold / Brass;157;15.07.2022;;
08426/01/30;5411212451460;Lucide JOVA - Pendant light - Ø 4,6 cm - 1xE27 - Black;279;28.07.2022;;
