"EAN code";"article number";"availability";"next expected arrival"
"5998250355559";"5555";"available";"2022-02-21"
"5998250355566";"5556";"available";"2022-02-21"
"5998250355573";"5557";"available";"2022-03-07"
"5998250355580";"5558";"available";""
"5998250355597";"5559";"5";"2022-03-07"
"5998250355603";"5560";"available";""
"5998250355610";"5561";"available";""
"5998250355627";"5562";"available";"2022-05-20"
"5998250355634";"5563";"0";""
"5998250355641";"5564";"0";"2022-03-07"
"5998250355658";"5565";"0";"2022-03-07"
"5998250355665";"5566";"0";"2022-03-07"
"5998250355672";"5567";"0";"2022-03-07"
"5998250355689";"5568";"available";"2022-02-21"
"5998250355696";"5569";"available";"2022-02-07"
"5998250355702";"5570";"0";"2022-02-07"
"5998250355719";"5571";"available";"2022-08-25"
"5998250355726";"5572";"available";""
"5998250355733";"5573";"available";""
"5998250355740";"5574";"available";""
"5998250355757";"5575";"available";""
"5998250355764";"5576";"available";"2022-02-07"
"5998250355771";"5577";"available";"2022-02-07"
"5998250355788";"5578";"available";"2022-08-25"
"5998250355795";"5579";"available";"2022-02-07"
"5998250355801";"5580";"available";""
"5998250355818";"5581";"available";""
"5998250355825";"5582";"available";""
"5998250355832";"5583";"available";""
"5998250355849";"5584";"available";"2022-02-21"
"5998250355856";"5585";"available";"2022-02-21"
"5998250355863";"5586";"available";"2022-02-21"
"5998250355870";"5587";"available";"2022-02-07"
"5998250355887";"5588";"available";""
"5998250355894";"5589";"available";""
"5998250355900";"5590";"available";""
"5998250355917";"5591";"available";""
"5998250355924";"5592";"available";"2022-03-20"
"5998250355931";"5593";"available";"2022-03-20"
"5998250355948";"5594";"available";"2022-03-20"
"5998250355955";"5595";"available";"2022-04-20"
"5998250355962";"5596";"available";""
"5998250355979";"5597";"available";""
"5998250355986";"5598";"available";""
"5998250355993";"5599";"2";"2022-04-07"
"5998250356006";"5600";"0";"2022-02-03"
"5998250356013";"5601";"available";"2022-03-14"
"5998250356020";"5602";"available";""
"5998250356037";"5603";"available";""
"5998250356044";"5604";"available";""
"5998250356051";"5605";"available";""
"5998250356068";"5606";"available";""
"5998250356075";"5607";"available";""
"5998250356082";"5608";"available";""
"5998250356099";"5609";"available";"2022-04-20"
"5998250356105";"5610";"available";"2022-04-20"
"5998250356112";"5611";"available";"2022-04-20"
"5998250356129";"5612";"available";"2022-04-20"
"5998250356136";"5613";"available";"2022-02-21"
"5998250356143";"5614";"0";"2022-02-03"
"5998250356150";"5615";"available";"2022-02-03"
"5998250356167";"5616";"available";"2022-06-20"
"5998250356181";"5618";"0";""
"5998250356198";"5619";"9";""
"5998250356204";"5620";"available";""
"5998250356211";"5621";"available";""
"5998250356228";"5622";"available";""
"5998250356235";"5623";"available";""
"5998250356242";"5624";"available";""
"5998250356259";"5625";"available";""
"5998250356266";"5626";"available";""
"5998250356273";"5627";"available";""
"5998250356280";"5628";"available";""
"5998250356297";"5629";"available";""
"5998250356303";"5630";"available";""
"5998250356310";"5631";"available";"2022-03-07"
"5998250356327";"5632";"available";"2022-03-07"
"5998250356334";"5633";"available";"2022-05-20"
"5998250356341";"5634";"0";"2022-03-07"
"5998250356358";"5635";"available";""
"5998250356365";"5636";"available";""
"5998250356372";"5637";"available";""
"5998250356389";"5638";"available";""
"5998250356396";"5639";"available";""
"5998250356402";"5640";"available";""
"5998250356419";"5641";"available";""
"5998250356426";"5642";"available";""
"5998250356433";"5643";"available";""
"5998250356440";"5644";"2";""
"5998250356457";"5645";"available";""
"5998250356464";"5646";"available";""
"5998250356471";"5647";"13";""
"5998250356488";"5648";"available";""
"5998250356495";"5649";"16";""
"5998250356501";"5650";"available";""
"5998250356518";"5651";"available";""
"5998250356525";"5652";"available";""
"5998250356532";"5653";"available";""
"5998250356549";"5654";"available";""
"5998250356563";"5656";"available";""
"5998250356570";"5657";"available";""
"5998250356587";"5658";"available";""
"5998250356594";"5659";"available";""
"5998250356600";"5660";"available";""
"5998250356617";"5661";"available";"2022-05-20"
"5998250356624";"5662";"available";""
"5998250356631";"5663";"available";"2022-08-25"
