Supplier ID|Item Number|Qty On Hand|Qty Backordered|Qty On Order|Item Next Availability Date|Item Discontinued|Item Description
MLG|703904|376|0|0||0|MÅSESKÄR 5 Candlestick Wood  Nature
MLG|703908|0|0|0||0|NORRDAL Table Decoration House  White
MLG|703909|0|0|0||0|NORRDAL Table Decoration  House Grey
MLG|703911|0|0|0||0|AURA Pendant Deco Wreath 30cm  Copper
MLG|703912|0|0|0||0|AURA Pendant Deco Wreath 30cm Golden
MLG|703914|0|0|0||0|AURA Pendant Deco Heart 30cm  Golden
MLG|703915|0|0|0||0|WORD Table Deco Love 16L LED RGrey
MLG|703919|0|0|0||0|HADAR Table Deco 15L LED Star Nature
MLG|703920|759|0|0||0|HULDA Tree  Wooden 40cm Natural
MLG|703923|0|0|0||0|MÅSESKÄR 5 Candlestick Wood Black
MLG|703930|0|0|0||0|HYDRA Pendant Deco 30 cm Copper
MLG|703931|1|0|0||0|TJUSA Pendant Decoration 42cm E14 Golden
MLG|703932|0|0|0||0|TJUSA Pendant Decoration 42cm E14 Copper
MLG|703934|1252|0|0||0|NEW YORK Deco Jul Ledtube Red
MLG|703935|163|0|0||0|RAPP metal wire star on black base E14
MLG|703940|0|0|0||0|TJUSA Table Decoration 67cm E27 Black marble
MLG|703941|0|0|0||0|HAGABERG Table Decoration Double 50 cm Silver
MLG|703943|175|0|0||0|FLASH Light Chain 100L 5 Line 1 mtr  WW
MLG|703944|127|0|0||0|FLASH Light Chain 100L LED 5 Line 2 mtr  WW
MLG|703945|47|0|0||0|BIGSOLO Lightchain 10L LED Golden
MLG|703946|0|0|0||0|VIDAR Table Decoration 5L White
MLG|703947|0|0|0||0|TOSTARED 45 cm Copper 
MLG|703949|0|0|0||0|TOSTARED 75cm Copper 
MLG|703950|0|0|0||0|AUGUSTA Pendant Star 75cm Slim Golden
MLG|703951|0|0|0||0|HYDRA Pendant Decoration 30cm Golden IP44
MLG|703952|1540|0|0||0|NOSTALGI  Table Decoration C3 Car Red
MLG|703954|959|0|0||0|NOSTALGI Table Decoration WW Bus Red
MLG|703956|0|0|0||0|NOSTALGI  Table Decoration WW Bug Pink
MLG|703958|7|0|0||0|NOSTALGI Table Decoration Fiat Car White
MLG|703959|0|0|0||0|NOSTALGI Table Decoration Mercedes Car White
MLG|703963|0|0|0||0|ROPE Ropelight  6 mtr 24V Warm White
MLG|703964|0|0|0||0|ROPE Ropelight 6 mtr 24 V  Multi
MLG|703965|0|0|0||0|ROPE  Ropelight  9mtr ww 24V
MLG|703966|15|0|0||0|KLANG Tabledeco Glass Star E14 Golden
MLG|703967|236|0|0||0|ROPE Ropelight 9mtr 24V Multi
MLG|703970|0|0|0||0|MAGGI Table Decoration  Tree 50cm  Green
MLG|703971|0|0|0||0|MAGGI Table Decoration Tree 70cm  Green
MLG|703974|137|0|0||0|SMART  Lightchain 210 cm  5 Line IP44  WW
MLG|703975|296|0|0||0|SMART Lightchain 210 cm 5 Line  IP44 Multi
MLG|703978|0|0|0||0|STYRA APP-master box 31V
MLG|703979|0|0|0||0|STYRA APP Receiver box 31V
